camera_id,msg_seq,t1_sec,t1_nsec,t2_sec,t2_nsec,t3_sec,t3_nsec,t4_sec,t4_nsec,lat_t1_t2_ms,lat_t2_t3_ms,lat_t3_t4_ms,lat_t1_t4_total_ms
right,842457315,32802,842457315,32802,847370974,32802,862642483,32802,864196819,4.914,15.272,1.554,21.740
left,914472106,32802,914472106,32802,921493485,32802,936144830,32802,937359828,7.021,14.651,1.215,22.888
front,929232900,32802,929232900,32802,933996763,32802,950508328,32802,952941261,4.764,16.512,2.433,23.708
right,946638478,32802,946638478,32802,954336100,32802,968976838,32802,970104029,7.698,14.641,1.127,23.466
left,14750508,32803,014750508,32803,021640662,32803,036254367,32803,037535192,6.890,14.614,1.281,22.785
front,29199029,32803,029199029,32803,033698923,32803,049459307,32803,051508535,4.500,15.760,2.049,22.310
right,41126485,32803,041126485,32803,045207538,32803,059942558,32803,061058086,4.081,14.735,1.116,19.932
left,116849299,32803,116849299,32803,123684260,32803,137990588,32803,139376668,6.835,14.306,1.386,22.527
front,130951708,32803,130951708,32803,134927918,32803,151706577,32803,153821224,3.976,16.779,2.115,22.870
right,143080473,32803,143080473,32803,147944119,32803,162988639,32803,164137306,4.864,15.045,1.149,21.057
left,217490952,32803,217490952,32803,223970512,32803,238301616,32803,239449254,6.480,14.331,1.148,21.958
front,230404491,32803,230404491,32803,234123883,32803,250119775,32803,251730559,3.719,15.996,1.611,21.326
right,245772350,32803,245772350,32803,250008355,32803,264817884,32803,266265909,4.236,14.810,1.448,20.494
left,322511850,32803,322511850,32803,329490197,32803,343718037,32803,345049475,6.978,14.228,1.331,22.538
front,339033217,32803,339033217,32803,345662091,32803,360726369,32803,362091829,6.629,15.064,1.365,23.059
right,352455688,32803,352455688,32803,358030847,32803,373183362,32803,374678520,5.575,15.153,1.495,22.223
left,421512458,32803,421512458,32803,429200378,32803,443346919,32803,444732828,7.688,14.147,1.386,23.220
front,436506147,32803,436506147,32803,440512758,32803,457147041,32803,459655616,4.007,16.634,2.509,23.149
right,447679826,32803,447679826,32803,452029926,32803,466649697,32803,468177197,4.350,14.620,1.528,20.497
left,514821424,32803,514821424,32803,521815573,32803,536195945,32803,538390544,6.994,14.380,2.195,23.569
front,528376327,32803,528376327,32803,532791839,32803,548956855,32803,551406995,4.416,16.165,2.450,23.031
right,540473805,32803,540473805,32803,544712904,32803,560421915,32803,561964268,4.239,15.709,1.542,21.490
left,614383665,32803,614383665,32803,621612365,32803,635627779,32803,637218177,7.229,14.015,1.590,22.835
front,631346417,32803,631346417,32803,635952433,32803,651817162,32803,653217293,4.606,15.865,1.400,21.871
right,643130181,32803,643130181,32803,647016814,32803,662247794,32803,663447320,3.887,15.231,1.200,20.317
left,721101091,32803,721101091,32803,727691978,32803,741591366,32803,743749957,6.591,13.899,2.159,22.649
front,734724201,32803,734724201,32803,738787275,32803,754128021,32803,755526318,4.063,15.341,1.398,20.802
right,747409238,32803,747409238,32803,752056005,32803,766988892,32803,768423709,4.647,14.933,1.435,21.014
left,820707302,32803,820707302,32803,827457749,32803,841497424,32803,842674457,6.750,14.040,1.177,21.967
front,835099964,32803,835099964,32803,839510133,32803,854731537,32803,855864082,4.410,15.221,1.133,20.764
right,846234855,32803,846234855,32803,850303346,32803,865018067,32803,866120887,4.068,14.715,1.103,19.886
left,916237702,32803,916237702,32803,923731207,32803,937550044,32803,938890761,7.494,13.819,1.341,22.653
front,930561577,32803,930561577,32803,934964392,32803,950036208,32803,951163739,4.403,15.072,1.128,20.602
right,941352661,32803,941352661,32803,945915941,32803,960729667,32803,961807187,4.563,14.814,1.078,20.455
left,14658706,32804,014658706,32804,021409716,32804,035279163,32804,036830409,6.751,13.869,1.551,22.172
front,28075419,32804,028075419,32804,031840796,32804,046760550,32804,048073807,3.765,14.920,1.313,19.998
right,39435742,32804,039435742,32804,043529015,32804,058222069,32804,059382701,4.093,14.693,1.161,19.947
left,120978951,32804,120978951,32804,127514383,32804,141467224,32804,142784046,6.535,13.953,1.317,21.805
front,135323128,32804,135323128,32804,139294786,32804,154217067,32804,155519077,3.972,14.922,1.302,20.196
right,146107249,32804,146107249,32804,150735382,32804,165486251,32804,166580268,4.628,14.751,1.094,20.473
left,219050785,32804,219050785,32804,225705452,32804,239577958,32804,240744840,6.655,13.873,1.167,21.694
front,237761307,32804,237761307,32804,242483212,32804,257561712,32804,258721363,4.722,15.079,1.160,20.960
right,249602670,32804,249602670,32804,253604171,32804,268575221,32804,269948811,4.002,14.971,1.374,20.346
left,315120550,32804,315120550,32804,321690827,32804,335621286,32804,336808892,6.570,13.930,1.188,21.688
front,328845756,32804,328845756,32804,332983189,32804,349838947,32804,350969252,4.137,16.856,1.130,22.123
right,340922472,32804,340922472,32804,345720584,32804,360371965,32804,361653671,4.798,14.651,1.282,20.731
left,421349697,32804,421349697,32804,427642319,32804,441974478,32804,443090598,6.293,14.332,1.116,21.741
front,435147592,32804,435147592,32804,438946634,32804,454772024,32804,457057487,3.799,15.825,2.285,21.910
right,446141432,32804,446141432,32804,450230887,32804,464637676,32804,465822272,4.089,14.407,1.185,19.681
left,516452441,32804,516452441,32804,523772408,32804,537735442,32804,538839398,7.320,13.963,1.104,22.387
front,529908416,32804,529908416,32804,534026161,32804,550733495,32804,552730391,4.118,16.707,1.997,22.822
right,541040855,32804,541040855,32804,545158652,32804,559676067,32804,560689412,4.118,14.517,1.013,19.649
left,621211888,32804,621211888,32804,627796994,32804,641792218,32804,643075817,6.585,13.995,1.284,21.864
front,641639952,32804,641639952,32804,645701210,32804,662142340,32804,663335696,4.061,16.441,1.193,21.696
right,652365075,32804,652365075,32804,657091628,32804,671920611,32804,673229686,4.727,14.829,1.309,20.865
left,718054465,32804,718054465,32804,725231273,32804,739382301,32804,740587875,7.177,14.151,1.206,22.533
front,737187190,32804,737187190,32804,742525630,32804,758245676,32804,759479461,5.338,15.720,1.234,22.292
right,754867277,32804,754867277,32804,761026075,32804,775447490,32804,776630413,6.159,14.421,1.183,21.763
left,821530959,32804,821530959,32804,828490710,32804,843239640,32804,844426353,6.960,14.749,1.187,22.895
front,836271276,32804,836271276,32804,840124597,32804,854965906,32804,856080863,3.853,14.841,1.115,19.810
right,852756510,32804,852756510,32804,858766526,32804,873937949,32804,875202599,6.010,15.171,1.265,22.446
left,915605032,32804,915605032,32804,922081490,32804,936734964,32804,938021350,6.476,14.653,1.286,22.416
front,929054723,32804,929054723,32804,933026523,32804,948469705,32804,950292200,3.972,15.443,1.822,21.237
right,940588054,32804,940588054,32804,945579134,32804,960215517,32804,961497205,4.991,14.636,1.282,20.909
left,21153106,32805,021153106,32805,027855747,32805,042124252,32805,043437207,6.703,14.269,1.313,22.284
front,35495989,32805,035495989,32805,039963718,32805,054762149,32805,056206021,4.468,14.798,1.444,20.710
right,51347215,32805,051347215,32805,056492588,32805,071038015,32805,072469719,5.145,14.545,1.432,21.123
left,114777520,32805,114777520,32805,121516439,32805,136582368,32805,138060087,6.739,15.066,1.478,23.283
front,129415021,32805,129415021,32805,134785980,32805,150168743,32805,151519406,5.371,15.383,1.351,22.104
right,142202190,32805,142202190,32805,146183799,32805,160970269,32805,162305268,3.982,14.786,1.335,20.103
left,215035130,32805,215035130,32805,220476975,32805,235108314,32805,236741146,5.442,14.631,1.633,21.706
front,227539317,32805,227539317,32805,234929366,32805,250675769,32805,252539233,7.390,15.746,1.863,25.000
right,241747172,32805,241747172,32805,248710213,32805,263543472,32805,265242403,6.963,14.833,1.699,23.495
left,314740295,32805,314740295,32805,321559818,32805,335776515,32805,337391319,6.820,14.217,1.615,22.651
front,328210188,32805,328210188,32805,331903155,32805,347063592,32805,348379713,3.693,15.160,1.316,20.170
right,339299039,32805,339299039,32805,343450198,32805,357831870,32805,359324928,4.151,14.382,1.493,20.026
left,414758585,32805,414758585,32805,421267492,32805,435557047,32805,436836830,6.509,14.290,1.280,22.078
front,427980595,32805,427980595,32805,432528731,32805,448176977,32805,449320917,4.548,15.648,1.144,21.340
right,439312718,32805,439312718,32805,443508624,32805,457849774,32805,458841145,4.196,14.341,0.991,19.528
left,514241524,32805,514241524,32805,520951850,32805,535192067,32805,536733892,6.710,14.240,1.542,22.492
front,527774438,32805,527774438,32805,531822030,32805,546546836,32805,547586986,4.048,14.725,1.040,19.813
right,539337592,32805,539337592,32805,543436906,32805,557829250,32805,559029833,4.099,14.392,1.201,19.692
left,620704827,32805,620704827,32805,627339267,32805,642154855,32805,644169950,6.634,14.816,2.015,23.465
front,641390142,32805,641390142,32805,645396539,32805,660149079,32805,661346477,4.006,14.753,1.197,19.956
right,657947381,32805,657947381,32805,663865799,32805,678485134,32805,679674948,5.918,14.619,1.190,21.728
